"population","id","imfGDP","unGDP","country","gdpPerCapita","continent","rank"
46843,659,1134000000,979218000,"Saint Kitts and Nevis",24208.52635399099,"North America",177
100616,670,1128000000,946701000,"Saint Vincent and the Grenadines",11210.940605867854,"North America",178
218019,882,1024000000,857258000,"Samoa",4696.838348951238,"Oceania",179
235536,678,751000000,546761000,"Sao Tome and Principe",3188.472250526459,"Africa",180
66205,212,708000000,612048000,"Dominica",10694.056340155577,"North America",181
104175,776,581000000,488408000,"Tonga",5577.1538276937845,"Oceania",182
113160,583,484000000,427094000,"Micronesia",4277.129727819018,"Oceania",183
134518,296,311000000,223671000,"Kiribati",2311.9582509403945,"Oceania",184
17695,585,308000000,225660000,"Palau",17406.046905905623,"Oceania",185
37548,584,305000000,279668000,"Marshall Islands",8122.935975284969,"Oceania",186
11947,520,161000000,147952000,"Nauru",13476.1864903323,"Oceania",187
9646,798,66000000,59040300,"Tuvalu",6842.2143893842,"Oceania",188
42647500,4,0,14175000000,"Afghanistan",332.3758719737382,"Asia",189
64636,60,0,7546000000,"Bermuda",116746.08577263444,"North America",190
39471,92,0,1471230000,"British Virgin Islands",37273.694611233565,"North America",191
74457,136,0,6281100000,"Cayman Islands",84358.75740360208,"North America",192
23103600,144,0,76187100000,"Sri Lanka",3297.6289409442684,"Asia",193
13729,184,0,289750000,"Cook Islands",21104.96030300823,"Oceania",194
10979800,192,0,147194000000,"Cuba",13405.890817683383,"North America",195
3535600,232,0,2383300000,"Eritrea",674.0864351170947,"Africa",196
281807,258,0,5814660000,"French Polynesia",20633.48319949469,"Oceania",197
5495440,275,0,19111900000,"Palestine",3477.7743001470308,"Asia",198
55840,304,0,2926120000,"Greenland",52401.86246418338,"North America",199
26498800,408,0,15176100000,"North Korea",572.7089528582426,"Asia",200
1684790,412,0,9397450000,"Kosovo",5577.816819900403,,201
5805960,422,0,39303100000,"Lebanon",6769.440368173394,"Asia",202
39870,438,0,7757950000,"Liechtenstein",194581.13870077752,"Europe",203
38631,492,0,8772070000,"Monaco",227073.33488649013,"Europe",204
4389,500,0,72263000,"Montserrat",16464.570517202097,"North America",205
185482,531,0,3075180000,"Curacao",16579.398540020054,"North America",206
43350,534,0,1572960000,"Sint Maarten",36285.12110726644,"North America",207
292639,540,0,9623320000,"New Caledonia",32884.61209886584,"Oceania",208
251269000,586,0,326797000000,"Pakistan",1300.5862243253246,"Asia",209
14598,660,0,452896000,"Anguilla",31024.523907384573,"North America",210
24672800,760,0,18595800000,"Syria",753.6963781978535,"Asia",211
46535,796,0,1138810000,"Turks and Caicos Islands",24472.117760825186,"North America",212
